# @echo "cylinder not seen" 
# @./minirt test/cylinder/test_input_one_cylinder_1_not_seen.rt 
cylinder seen from outside
dist infinite: 278.976037 | t->dist_cap: 200.041910 | clang!
dist infinite: 278.976037 | t->dist_cap: 200.041910 | clang!
dist infinite: 271.409211 | t->dist_cap: 200.058263 | clang!
dist infinite: 271.409211 | t->dist_cap: 200.058263 | clang!
dist infinite: 263.095734 | t->dist_cap: 200.077885 | clang!
dist infinite: 263.095734 | t->dist_cap: 200.077885 | clang!
dist infinite: 254.302205 | t->dist_cap: 200.100776 | clang!
dist infinite: 254.302205 | t->dist_cap: 200.100776 | clang!
dist infinite: 245.260518 | t->dist_cap: 200.126933 | clang!
dist infinite: 245.260518 | t->dist_cap: 200.126933 | clang!
dist infinite: 236.161554 | t->dist_cap: 200.156355 | clang!
dist infinite: 236.161554 | t->dist_cap: 200.156355 | clang!
dist infinite: 227.154774 | t->dist_cap: 200.189042 | clang!
dist infinite: 227.154774 | t->dist_cap: 200.189042 | clang!
dist infinite: 218.351613 | t->dist_cap: 200.224991 | clang!
dist infinite: 218.351613 | t->dist_cap: 200.224991 | clang!
dist infinite: 209.830818 | t->dist_cap: 200.264201 | clang!
dist infinite: 209.830818 | t->dist_cap: 200.264201 | clang!
dist infinite: 201.644390 | t->dist_cap: 200.306670 | clang!
dist infinite: 201.644390 | t->dist_cap: 200.306670 | clang!
dist infinite: 200.468534 | t->dist_cap: 200.313203 | clang!
dist infinite: 200.468534 | t->dist_cap: 200.313203 | clang!
dist infinite: 209.165189 | t->dist_cap: 200.267468 | clang!
dist infinite: 209.165189 | t->dist_cap: 200.267468 | clang!
dist infinite: 218.351613 | t->dist_cap: 200.224991 | clang!
dist infinite: 218.351613 | t->dist_cap: 200.224991 | clang!
dist infinite: 228.009176 | t->dist_cap: 200.185774 | clang!
dist infinite: 228.009176 | t->dist_cap: 200.185774 | clang!
dist infinite: 238.095567 | t->dist_cap: 200.149817 | clang!
dist infinite: 238.095567 | t->dist_cap: 200.149817 | clang!
dist infinite: 248.536535 | t->dist_cap: 200.117124 | clang!
dist infinite: 248.536535 | t->dist_cap: 200.117124 | clang!
dist infinite: 259.216460 | t->dist_cap: 200.087696 | clang!
dist infinite: 259.216460 | t->dist_cap: 200.087696 | clang!
dist infinite: 269.968633 | t->dist_cap: 200.061534 | clang!
dist infinite: 269.968633 | t->dist_cap: 200.061534 | clang!
dist infinite: 280.567024 | t->dist_cap: 200.038639 | clang!
dist infinite: 280.567024 | t->dist_cap: 200.038639 | clang!
dist infinite: 290.722366 | t->dist_cap: 200.019013 | clang!
dist infinite: 290.722366 | t->dist_cap: 200.019013 | clang!
dist infinite: 300.086346 | t->dist_cap: 200.002656 | clang!
dist infinite: 300.086346 | t->dist_cap: 200.002656 | clang!
dist infinite: 308.267918 | t->dist_cap: 199.989570 | clang!
dist infinite: 308.267918 | t->dist_cap: 199.989570 | clang!
dist infinite: 314.864254 | t->dist_cap: 199.979755 | clang!
dist infinite: 314.864254 | t->dist_cap: 199.979755 | clang!
